OBJECTID,BOREHOLE,X,Y,GEOL,longitud,latitud,DESCRIPTIO,THICKNESS,PERCCLAY,PERMEABILI
130,Bhnr130,835430,1043419,kd,-75.561280,4.987166,Subaquatic lavaflows,8,55,0.00000000000
131,Bhnr131,833922,1043419,qpf,-75.574870,4.987135,Pyroclastic flow material,40,5,3.00000000000
132,Bhnr132,835738,1043419,kis,-75.558500,4.987172,Metasedimentary rock,5,45,0.00000000000
133,Bhnr133,833656,1043412,qpf,-75.577270,4.987066,Pyroclastic flow material,40,5,3.00000000000
134,Bhnr134,833163,1042525,qdfmix,-75.581690,4.979037,"Mixed debris flow, ashes and alluvial material",35,10,3.00000000000
135,Bhnr135,831907,1043387,qlahar,-75.593030,4.986804,Lahar deposits,25,25,2.50000000000
136,Bhnr136,831494,1043256,qdfmix,-75.596750,4.985611,"Mixed debris flow, ashes and alluvial material",35,10,3.00000000000
137,Bhnr137,832242,1043238,kdg,-75.590010,4.985464,Dioritic gabbro,4,35,0.10000000000
138,Bhnr138,832048,1043300,qdfmix,-75.591760,4.986020,"Mixed debris flow, ashes and alluvial material",35,10,3.00000000000
139,Bhnr139,835431,1043162,kd,-75.561260,4.984842,Subaquatic lavaflows,4,55,0.00000000000
140,Bhnr140,832412,1043275,qlahar,-75.588480,4.985802,Lahar deposits,25,25,2.50000000000
141,Bhnr141,832318,1042731,kdg,-75.589310,4.980882,Dioritic gabbro,2,35,0.10000000000
142,Bhnr142,836000,1043213,kis,-75.556130,4.985315,Metasedimentary rock,7,45,0.00000000000
143,Bhnr143,829177,1043106,tadp,-75.617630,4.984206,Porfyritic andesite,6,65,0.00000000000
144,Bhnr144,831877,1042069,kdg,-75.593280,4.974889,Dioritic gabbro,3,35,0.10000000000
145,Bhnr145,827812,1043088,kd,-75.629940,4.984015,Subaquatic lavaflows,6,55,0.00000000000
146,Bhnr146,827812,1043075,kclp,-75.629940,4.983897,Chloritic/amfibolitic schists,4,60,0.00000000000
147,Bhnr147,833345,1043056,qpf,-75.580060,4.983841,Pyroclastic flow material,40,5,3.00000000000
148,Bhnr148,833419,1043037,qdfmix,-75.579400,4.983671,"Mixed debris flow, ashes and alluvial material",35,10,3.00000000000
149,Bhnr149,836767,1042956,qpf,-75.549220,4.983007,Pyroclastic flow material,40,5,3.00000000000
150,Bhnr150,832669,1042931,qdfmix,-75.586150,4.982697,"Mixed debris flow, ashes and alluvial material",35,10,3.00000000000
151,Bhnr151,831250,1042931,qdfmix,-75.598950,4.982668,"Mixed debris flow, ashes and alluvial material",35,10,3.00000000000
152,Bhnr152,828873,1042319,kd,-75.620360,4.977086,Subaquatic lavaflows,8,55,0.00000000000
153,Bhnr153,835590,1042650,kis,-75.559820,4.980217,Metasedimentary rock,7,45,0.00000000000
154,Bhnr154,836853,1042869,qpf,-75.548440,4.982222,Pyroclastic flow material,40,5,3.00000000000
155,Bhnr155,832069,1042788,kdg,-75.591560,4.981392,Dioritic gabbro,4,35,0.10000000000
156,Bhnr156,835875,1042675,kis,-75.557250,4.980449,Metasedimentary rock,7,45,0.00000000000
157,Bhnr157,835373,1041844,kd,-75.561760,4.972927,Subaquatic lavaflows,4,55,0.00000000000
158,Bhnr158,832644,1042562,qdfmix,-75.586370,4.979361,"Mixed debris flow, ashes and alluvial material",35,10,3.00000000000
159,Bhnr159,831213,1042569,kdg,-75.599270,4.979395,Dioritic gabbro,2,35,0.10000000000
160,Bhnr160,835622,1042156,kis,-75.559520,4.975752,Metasedimentary rock,9,45,0.00000000000
161,Bhnr161,834191,1042269,toi,-75.572420,4.976744,Sedimentary rocks,5,10,1.00000000000
162,Bhnr162,829860,1042312,toi,-75.611460,4.977043,Sedimentary rocks,3,10,1.00000000000
163,Bhnr163,834688,1042444,kd,-75.567950,4.978337,Subaquatic lavaflows,6,55,0.00000000000
164,Bhnr164,832291,1042225,kdg,-75.589550,4.976308,Dioritic gabbro,3,35,0.10000000000
165,Bhnr165,836519,1042369,kis,-75.551440,4.977696,Metasedimentary rock,7,45,0.00000000000
166,Bhnr166,832102,1042287,kdg,-75.591250,4.976864,Dioritic gabbro,4,35,0.10000000000
167,Bhnr167,834075,1042056,kd,-75.573460,4.974817,Subaquatic lavaflows,8,55,0.00000000000
168,Bhnr168,836174,1042206,kis,-75.554550,4.976215,Metasedimentary rock,5,45,0.00000000000
169,Bhnr169,835325,1042075,kd,-75.562200,4.975014,Subaquatic lavaflows,6,55,0.00000000000
170,Bhnr170,835754,1042038,kis,-75.558330,4.974688,Metasedimentary rock,7,45,0.00000000000
171,Bhnr171,827291,1041856,kclp,-75.634610,4.972867,Chloritic/amfibolitic schists,2,60,0.00000000000
172,Bhnr172,830863,1041925,qdfmix,-75.602410,4.973566,"Mixed debris flow, ashes and alluvial material",35,10,3.00000000000
173,Bhnr173,830838,1041900,kdg,-75.602640,4.973339,Dioritic gabbro,4,35,0.10000000000
174,Bhnr174,833977,1041825,toi,-75.574340,4.972726,Sedimentary rocks,3,10,1.00000000000
175,Bhnr175,828113,1041800,kclp,-75.627200,4.972378,Chloritic/amfibolitic schists,4,60,0.00000000000
176,Bhnr176,836987,1041775,kis,-75.547210,4.972335,Metasedimentary rock,9,45,0.00000000000
177,Bhnr177,827606,1041687,kd,-75.631760,4.971346,Subaquatic lavaflows,8,55,0.00000000000
178,Bhnr178,827337,1041744,kclp,-75.634190,4.971855,Chloritic/amfibolitic schists,8,60,0.00000000000
179,Bhnr179,830605,1041638,qal,-75.604730,4.970966,Recent alluvial material,20,0,3.50000000000
180,Bhnr180,836344,1041712,kis,-75.553000,4.971753,Metasedimentary rock,5,45,0.00000000000
181,Bhnr181,828700,1041694,kd,-75.621900,4.971432,Subaquatic lavaflows,4,55,0.00000000000
182,Bhnr182,831521,1041625,kdg,-75.596480,4.970868,Dioritic gabbro,2,35,0.10000000000
183,Bhnr183,832478,1041675,kdg,-75.587850,4.971339,Dioritic gabbro,4,35,0.10000000000
184,Bhnr184,835794,1041669,kis,-75.557960,4.971353,Metasedimentary rock,7,45,0.00000000000
185,Bhnr185,834253,1041319,kd,-75.571840,4.968158,Subaquatic lavaflows,6,55,0.00000000000
186,Bhnr186,827531,1041563,kd,-75.632440,4.970223,Subaquatic lavaflows,8,55,0.00000000000
187,Bhnr187,833010,1041231,inch,-75.583050,4.967337,Gneissic intrusive,4,20,0.90000000000
188,Bhnr188,833442,1041363,inch,-75.579150,4.968539,Gneissic intrusive,3,20,0.90000000000
189,Bhnr189,832952,1041388,inch,-75.583570,4.968755,Gneissic intrusive,2,20,0.90000000000
190,Bhnr190,829573,1041394,toi,-75.614030,4.968739,Sedimentary rocks,3,10,1.00000000000
191,Bhnr191,831131,1041337,kdg,-75.599980,4.968256,Dioritic gabbro,4,35,0.10000000000
192,Bhnr192,836664,1041362,kis,-75.550110,4.968595,Metasedimentary rock,9,45,0.00000000000
193,Bhnr193,827450,1041325,kd,-75.633160,4.968070,Subaquatic lavaflows,8,55,0.00000000000
194,Bhnr194,834350,1041231,kd,-75.570970,4.967364,Subaquatic lavaflows,4,55,0.00000000000
195,Bhnr195,834631,1041262,kd,-75.568440,4.967650,Subaquatic lavaflows,6,55,0.00000000000
196,Bhnr196,832394,1041262,kdg,-75.588600,4.967604,Dioritic gabbro,3,35,0.10000000000
197,Bhnr197,827940,1041069,kclp,-75.628740,4.965766,Chloritic/amfibolitic schists,8,60,0.00000000000
198,Bhnr198,831059,1041063,kdg,-75.600630,4.965778,Dioritic gabbro,2,35,0.10000000000
199,Bhnr199,832369,1041106,kdg,-75.588820,4.966194,Dioritic gabbro,4,35,0.10000000000
200,Bhnr200,836091,1041069,kis,-75.555270,4.965935,Metasedimentary rock,5,45,0.00000000000
201,Bhnr201,834272,1041019,kd,-75.571670,4.965446,Subaquatic lavaflows,8,55,0.00000000000
202,Bhnr202,827800,1041006,kd,-75.630000,4.965194,Subaquatic lavaflows,6,55,0.00000000000
203,Bhnr203,829288,1042588,qdw,-75.616620,4.979526,Weathered debris flow material,15,25,0.90000000000
